Variable / Field Name,Form Name,Section Header,,Item Header,,Field Label,"Choices, Calculations, OR Slider Labels",Field Type,,,Text Validation Min,Text Validation Max,,,Form Display Name
4615,qr97,,,,,Has the child/adult experienced tic symptoms this week?,"0=No, 1=Yes",1,,,,,,,97
4616,qr97,,,Section: Motor Tics,Section: Motor Tics,Motor tics-Number,"0 = 0, 1 = Single Tic, 2 = 2, 3 = 3, 4 = 4, 5 = 5",1,,,,,,,97
4617,qr97,,,Section: Motor Tics,Section: Motor Tics,Motor Tics-Frequency,"0 = 0, 1 = 1, 2 = 2, 3 = 3, 4 = 4, 5 = 5",1,,,,,,,97
4618,qr97,,,Section: Motor Tics,Section: Motor Tics,Motor Tics - Intensity,"0 = Absent, 1 = 1, 2 = 2, 3 = 3, 4 = 4, 5 = 5",1,,,,,,,97
4619,qr97,,,Section: Motor Tics,Section: Motor Tics,Motor Tics- Complexity,"0 = None, 1 = 1, 2 = 2, 3 = 3, 4 = 4, 5 = 5",1,,,,,,,97
4620,qr97,,,Section: Motor Tics,Section: Motor Tics,Motor Tics-Interference,"0 = None, 1 = 1, 2 = 2, 3 = 3, 4 = 4, 5 = 5",1,,,,,,,97
4621,qr97,,,Vocal Tics,Vocal Tics,Vocal Tics- Number,"0 = None, 1 = 1, 2 = 2, 3 = 3, 4 = 4, 5 = 5",1,,,,,,,97
4622,qr97,,,Vocal Tics,Vocal Tics,Vocal Tics- Frequency,"0 = None, 1 = 1, 2 = 2, 3 = 3, 4 = 4, 5 = 5",1,,,,,,,97
4623,qr97,,,Vocal Tics,Vocal Tics,Vocal Tics- Intensity,"0 = None, 1 = 1, 2 = 2, 3 = 3, 4 = 4, 5 = 5",1,,,,,,,97
4624,qr97,,,Vocal Tics,Vocal Tics,Vocal Tics-Complexity,"0 = None, 1 = 1, 2 = 2, 3 = 3, 4 = 4, 5 = 5",1,,,,,,,97
4625,qr97,,,Vocal Tics,Vocal Tics,Vocal Tics-Interference,"0 = None, 1 = 1, 2 = 2, 3 = 3, 4 = 4, 5 = 5",1,,,,,,,97
4626,qr97,,,Overall Impairment,Overall Impairment,Overall TS Impairment Rating,"0 = 0, 10 = 10, 20 = 20, 30 = 30, 40 = 40, 50 = 50",1,,,,,,,97
